"county","precinct","year","State House DEM","State Senate DEM","US House DEM"
"Salt Lake","MUR016",2016,127,,173
"Salt Lake","MUR016",2018,150,172,203
"Salt Lake","MUR017",2016,168,,161
"Salt Lake","MUR017",2018,176,173,187
"Salt Lake","MUR018",2016,294,,368
"Salt Lake","MUR018",2018,332,363,384
"Salt Lake","MUR019",2016,172,,168
"Salt Lake","MUR019",2018,186,174,203
"Salt Lake","MUR020",2016,233,,303
"Salt Lake","MUR020",2018,269,308,325
"Salt Lake","MUR021",2016,343,,333
"Salt Lake","MUR021",2018,391,380,415
"Salt Lake","MUR022",2016,34,29,34
"Salt Lake","MUR022",2018,37,31,40
"Salt Lake","MUR023",2016,306,257,329
"Salt Lake","MUR023",2018,346,323,401
"Salt Lake","MUR024",2016,271,199,268
"Salt Lake","MUR024",2018,284,244,298
"Salt Lake","MUR025",2016,362,275,354
"Salt Lake","MUR025",2018,372,330,383
"Salt Lake","MUR027",2016,536,,511
"Salt Lake","MUR027",2018,611,592,612
"Salt Lake","MUR028",2016,137,108,145
"Salt Lake","MUR029",2016,438,252,386
"Salt Lake","MUR029",2018,434,365,443
"Salt Lake","MUR030",2016,158,140,146
"Salt Lake","MUR030",2018,360,328,396
"Salt Lake","MUR031",2016,402,329,382
"Salt Lake","MUR031",2018,377,348,401
"Salt Lake","MUR032",2016,255,209,248
"Salt Lake","MUR032",2018,266,239,276
"Salt Lake","MUR033",2016,215,161,212
"Salt Lake","MUR033",2018,223,198,231
"Salt Lake","MUR034",2016,290,181,256
"Salt Lake","MUR034",2018,258,230,275
"Salt Lake","MUR035",2016,237,201,234
"Salt Lake","MUR035",2018,234,227,274
"Salt Lake","MUR036",2016,442,208,315
"Salt Lake","MUR036",2018,341,278,370
"Salt Lake","MUR037",2016,232,209,255
"Salt Lake","MUR037",2018,278,254,306
"Salt Lake","MUR038",2016,159,,173
"Salt Lake","MUR038",2018,152,174,179
"Salt Lake","MUR039",2016,392,243,339
"Salt Lake","MUR039",2018,381,356,423
"Salt Lake","MUR040",2016,79,,94
"Salt Lake","MUR040",2018,92,98,113
"Salt Lake","MUR041",2016,265,149,212
"Salt Lake","MUR041",2018,245,212,261
"Salt Lake","MUR042",2016,422,208,317
"Salt Lake","MUR042",2018,370,292,375
"Salt Lake","MUR043",2016,465,258,384
"Salt Lake","MUR043",2018,394,344,421
"Salt Lake","MUR044",2016,26,17,29
"Salt Lake","MUR044",2018,31,30,36
"Salt Lake","MUR045",2016,4,5,5
"Salt Lake","MUR045",2018,5,4,5
"Salt Lake","MUR046",2016,259,200,262
"Salt Lake","MUR046",2018,291,258,284
"Salt Lake","MUR047",2016,164,128,161
"Salt Lake","MUR047",2018,155,129,165
"Salt Lake","MUR048",2016,23,19,23
"Salt Lake","MUR048",2018,50,46,53
"Salt Lake","MUR049",2016,210,209,266
"Salt Lake","MUR049",2018,242,248,311
"Salt Lake","MUR050",2016,195,177,214
"Salt Lake","MUR050",2018,213,204,252
"Salt Lake","MUR051",2016,15,15,16
"Salt Lake","MUR051",2018,16,,20
"Salt Lake","MUR052",2016,32,25,34
"Salt Lake","MUR052",2018,24,24,26
"Salt Lake","MUR053",2016,3,4,4
"Salt Lake","MUR053",2018,3,6,5
"Salt Lake","NJC001",2016,12,6,10
"Salt Lake","NJC001",2018,15,,14
"Salt Lake","RIV001",2016,191,,274
"Salt Lake","RIV001",2018,227,221,308
"Salt Lake","RIV002",2016,98,,137
"Salt Lake","RIV002",2018,205,230,252
"Salt Lake","RIV003",2016,152,,197
"Salt Lake","RIV003",2018,174,198,279
"Salt Lake","RIV004",2016,165,,232
"Salt Lake","RIV004",2018,160,191,253
"Salt Lake","RIV005",2016,114,,158
"Salt Lake","RIV005",2018,133,141,171
"Salt Lake","RIV006",2016,9,,10
"Salt Lake","RIV006",2018,12,13,14
"Salt Lake","RIV007",2016,98,,127
"Salt Lake","RIV007",2018,106,121,146
"Salt Lake","RIV008",2016,175,,211
"Salt Lake","RIV008",2018,168,196,265
"Salt Lake","RIV009",2016,158,,190
"Salt Lake","RIV009",2018,148,159,193
"Salt Lake","RIV010",2016,180,,231
"Salt Lake","RIV010",2018,211,211,272
"Salt Lake","RIV011",2016,61,,78
"Salt Lake","RIV011",2018,49,61,82
"Salt Lake","RIV012",2016,146,,191
"Salt Lake","RIV012",2018,177,205,251
"Salt Lake","RIV013",2016,93,,100
"Salt Lake","RIV013",2018,109,103,139
"Salt Lake","RIV015",2016,206,,233
"Salt Lake","RIV015",2018,187,227,305
"Salt Lake","RIV016",2016,143,,197
"Salt Lake","RIV016",2018,158,188,236
"Salt Lake","RIV017",2016,185,,210
"Salt Lake","RIV017",2018,192,213,275
"Salt Lake","RIV018",2016,63,70,71
"Salt Lake","RIV018",2018,78,,112
"Salt Lake","RIV019",2016,150,,197
"Salt Lake","RIV019",2018,193,202,256
"Salt Lake","RIV020",2016,133,,167
"Salt Lake","RIV020",2018,144,155,204
"Salt Lake","RIV021",2016,143,,167
"Salt Lake","RIV021",2018,168,158,204
"Salt Lake","RIV022",2016,202,,255
"Salt Lake","RIV022",2018,227,234,284
"Salt Lake","RIV023",2016,98,,133
"Salt Lake","RIV023",2018,125,118,162
"Salt Lake","RIV024",2016,43,,68
"Salt Lake","RIV024",2018,70,88,103
"Salt Lake","RIV025",2016,252,,320
"Salt Lake","RIV025",2018,269,280,378
"Salt Lake","RIV026",2016,178,,251
"Salt Lake","RIV026",2018,207,209,298
"Salt Lake","RIV027",2016,100,,124
"Salt Lake","RIV027",2018,114,127,171
"Salt Lake","RIV028",2016,54,,77
"Salt Lake","RIV028",2018,53,62,82
"Salt Lake","RIV029",2016,97,,131
"Salt Lake","RIV029",2018,98,111,147
"Salt Lake","RIV030",2016,51,,60
"Salt Lake","RIV030",2018,55,59,82
"Salt Lake","RIV031",2016,132,,120
"Salt Lake","RIV031",2018,106,114,138
"Salt Lake","SAN001",2016,311,269,327
"Salt Lake","SAN001",2018,350,337,381
"Salt Lake","SAN002",2016,68,50,79
"Salt Lake","SAN002",2018,59,56,86
"Salt Lake","SAN003",2016,74,68,82
"Salt Lake","SAN003",2018,180,152,180
"Salt Lake","SAN004",2016,255,232,249
"Salt Lake","SAN004",2018,267,248,290
"Salt Lake","SAN005",2016,332,,349
"Salt Lake","SAN005",2018,,,401
"Salt Lake","SAN006",2016,133,125,132
"Salt Lake","SAN006",2018,145,149,170
"Salt Lake","SAN007",2016,101,,105
"Salt Lake","SAN007",2018,109,,121
"Salt Lake","SAN009",2016,374,,391
"Salt Lake","SAN009",2018,,,490
"Salt Lake","SAN016",2016,136,117,136
"Salt Lake","SAN016",2018,122,125,142
"Salt Lake","SAN039",2016,272,282,301
"Salt Lake","SAN039",2018,,,371
"Salt Lake","SAN040",2016,105,,119
"Salt Lake","SAN040",2018,,,147
"Salt Lake","SAN041",2016,149,,165
"Salt Lake","SAN041",2018,,,253
"Salt Lake","SAN042",2016,242,,258
"Salt Lake","SAN042",2018,,,304
"Salt Lake","SAN043",2016,164,,202
"Salt Lake","SAN043",2018,,,206
"Salt Lake","SAN044",2016,384,,339
"Salt Lake","SAN044",2018,413,,393
"Salt Lake","SAN045",2016,393,,373
"Salt Lake","SAN045",2018,560,,520
"Salt Lake","SAN061",2016,211,,177
"Salt Lake","SAN061",2018,249,,223
"Salt Lake","SAN062",2016,237,,221
"Salt Lake","SAN062",2018,255,,246
"Salt Lake","SAN063",2016,285,,230
"Salt Lake","SAN063",2018,330,,274
"Salt Lake","SAN064",2016,223,,173
"Salt Lake","SAN064",2018,271,,206
"Salt Lake","SIL007",2016,0,0,0
"Salt Lake","SJD001",2016,,248,291
"Salt Lake","SJD001",2018,,,344
"Salt Lake","SJD002",2016,,14,9
"Salt Lake","SJD002",2018,,,12
"Salt Lake","SJD003",2016,,175,229
"Salt Lake","SJD003",2018,,,243
"Salt Lake","SJD004",2016,,167,200
"Salt Lake","SJD004",2018,,,258
"Salt Lake","SJD005",2016,,122,139
"Salt Lake","SJD005",2018,,,183
"Salt Lake","SJD006",2016,334,324,378
"Salt Lake","SJD006",2018,457,,503
"Salt Lake","SJD007",2016,135,110,146
"Salt Lake","SJD007",2018,122,,136
"Salt Lake","SJD008",2016,235,257,335
"Salt Lake","SJD008",2018,330,,358
"Salt Lake","SJD009",2016,31,33,35
"Salt Lake","SJD009",2018,40,,51
"Salt Lake","SJD010",2016,126,149,158
"Salt Lake","SJD010",2018,158,,205
"Salt Lake","SJD011",2018,306,,370
"Salt Lake","SJD012",2016,187,204,239
"Salt Lake","SJD012",2018,204,,282
"Salt Lake","SJD013",2016,149,183,228
"Salt Lake","SJD013",2018,179,,244
"Salt Lake","SJD014",2016,174,183,231
"Salt Lake","SJD014",2018,180,,268
"Salt Lake","SJD015",2016,126,148,179
"Salt Lake","SJD015",2018,149,,210
"Salt Lake","SJD016",2016,108,125,178
"Salt Lake","SJD016",2018,126,,164
"Salt Lake","SJD017",2016,197,227,259
"Salt Lake","SJD017",2018,255,,350
"Salt Lake","SJD018",2016,133,143,170
"Salt Lake","SJD018",2018,159,,206
"Salt Lake","SJD019",2016,77,89,126
"Salt Lake","SJD019",2018,94,,153
"Salt Lake","SJD020",2016,25,21,28
"Salt Lake","SJD020",2018,26,,34
"Salt Lake","SJD021",2016,115,137,167
"Salt Lake","SJD021",2018,138,,196
"Salt Lake","SJD022",2016,311,333,392
"Salt Lake","SJD022",2018,335,,428
"Salt Lake","SJD023",2016,260,256,269
"Salt Lake","SJD023",2018,355,,383
"Salt Lake","SJD024",2016,,117,155
"Salt Lake","SJD024",2018,,,232
"Salt Lake","SJD025",2016,198,192,226
"Salt Lake","SJD025",2018,248,,307
"Salt Lake","SJD026",2016,314,335,393
"Salt Lake","SJD026",2018,334,,449
"Salt Lake","SJD027",2016,,383,440
"Salt Lake","SJD027",2018,,,518
"Salt Lake","SJD028",2016,300,323,354
"Salt Lake","SJD028",2018,237,,286
"Salt Lake","SJD029",2016,195,193,237
"Salt Lake","SJD029",2018,231,,266
"Salt Lake","SJD030",2016,317,361,377
"Salt Lake","SJD030",2018,262,,334
"Salt Lake","SJD031",2016,152,164,201
"Salt Lake","SJD031",2018,219,,302
"Salt Lake","SJD032",2016,314,358,423
"Salt Lake","SJD032",2018,343,,417
"Salt Lake","SJD033",2016,208,247,293
"Salt Lake","SJD033",2018,300,,405
"Salt Lake","SJD034",2016,128,144,168
"Salt Lake","SJD034",2018,129,,191
"Salt Lake","SJD035",2018,,,436
"Salt Lake","SJD036",2016,87,100,120
"Salt Lake","SJD036",2018,139,,212
"Salt Lake","SJD037",2016,92,93,123
"Salt Lake","SJD037",2018,127,,165
"Salt Lake","SJD038",2016,217,233,278
"Salt Lake","SJD038",2018,244,,315
"Salt Lake","SJD039",2016,30,,33
"Salt Lake","SJD039",2018,25,27,32
"Salt Lake","SJD040",2016,143,179,220
"Salt Lake","SJD040",2018,205,,276
"Salt Lake","SJD041",2016,160,202,211
"Salt Lake","SJD041",2018,204,,276
"Salt Lake","SJD042",2016,242,273,264
"Salt Lake","SJD042",2018,271,,333
"Salt Lake","SJD045",2016,132,150,167
"Salt Lake","SJD045",2018,173,,210
"Salt Lake","SJD046",2016,37,47,61
"Salt Lake","SJD046",2018,56,,67
"Salt Lake","SJD047",2016,82,104,102
"Salt Lake","SJD047",2018,159,,224
"Salt Lake","SJD048",2016,41,50,53
"Salt Lake","SJD049",2016,60,75,88
"Salt Lake","SJD049",2018,66,,97
"Salt Lake","SJD050",2016,58,65,93
"Salt Lake","SJD050",2018,74,,100
