precinct	Registered Voters	Ballots Cast	Voter Turnout
KRN018	703	529	0.75
KRN019	893	644	0.72
KRN020	302	217	0.72
KRN021	301	232	0.77
LTC001	33	26	0.79
LTC003	38	40	1.05
MAG001	788	585	0.74
MAG003	663	480	0.72
MAG004	485	374	0.77
MAG005	917	718	0.78
MAG006	553	406	0.73
MAG007	612	476	0.78
MAG009	912	690	0.76
MAG010	817	593	0.73
MAG011	828	645	0.78
MAG012	612	479	0.78
MAG013	410	327	0.80
MAG014	645	493	0.76
MAG015	625	468	0.75
MAG016	831	604	0.73
MAG901	10	8	0.80
MID001	1162	894	0.77
MID002	721	606	0.84
MID003	973	788	0.81
MID005	748	654	0.87
MID006	781	641	0.82
MID009	183	126	0.69
MID010	667	529	0.79
MID011	996	821	0.82
MID013	448	388	0.87
MID014	13	11	0.85
MID015	772	610	0.79
MID016	572	453	0.79
MID017	671	504	0.75
MID019	533	452	0.85
MID022	1038	852	0.82
MID024	916	736	0.80
MID025	374	283	0.76
MID027	357	319	0.89
MID028	526	435	0.83
MID029	459	398	0.87
MID030	381	309	0.81
MID032	0	0	0.00
MIL001	889	767	0.86
MIL002	941	824	0.88
MIL003	786	652	0.83
MIL004	998	875	0.88
MIL005	437	400	0.92
MIL006	694	596	0.86
MIL007	267	167	0.63
MIL008	263	198	0.75
MIL009	862	613	0.71
MIL010	541	424	0.78
MIL011	1007	849	0.84
MIL012	781	688	0.88
MIL013	726	589	0.81
MIL014	498	459	0.92
MIL015	911	788	0.87
MIL016	1023	858	0.84
MIL017	426	357	0.84
MIL018	1264	1086	0.86
MIL019	873	710	0.81
MIL020	662	590	0.89
MIL021	653	564	0.86
MIL022	826	724	0.88
MIL023	757	661	0.87
MIL024	724	667	0.92
MIL025	764	693	0.91
MIL026	728	630	0.87
MIL027	987	877	0.89
MIL028	750	681	0.91
MIL029	672	580	0.86
MIL030	577	525	0.91
MIL031	760	673	0.89
MIL032	946	858	0.91
MIL033	839	749	0.89
MIL034	791	692	0.87
MIL035	1004	893	0.89
MIL036	788	705	0.89
MIL037	620	547	0.88
MIL038	688	638	0.93
MIL039	778	714	0.92
MIL040	676	612	0.91
MIL041	490	453	0.92
MIL042	599	536	0.89
MIL043	854	771	0.90
MIL044	486	434	0.89
MIL045	618	559	0.90
MOL009	1	1	1.00
MUR001	18	12	0.67
MUR002	956	712	0.74
MUR003	257	211	0.82
MUR004	541	490	0.91
MUR005	683	554	0.81
MUR006	5	1	0.20
MUR007	564	489	0.87
MUR008	1044	862	0.83
MUR009	351	303	0.86
MUR010	47	39	0.83
