precinct,Registered Voters,Ballots Cast,Voter Turnout
SSL001,220,197,89.55 %
SSL002,447,367,82.10 %
SSL003,72,49,68.06 %
SSL004,636,515,80.97 %
SSL005,637,538,84.46 %
SSL006,908,741,81.61 %
SSL007,1044,842,80.65 %
SSL008,540,463,85.74 %
SSL009,448,358,79.91 %
SSL010,657,502,76.41 %
SSL011,751,579,77.10 %
SSL012,326,246,75.46 %
SSL014,1234,1011,81.93 %
SWT001,535,428,80.00 %
SWT002,2,1,50.00 %
TAY001,1105,851,77.01 %
TAY002,688,554,80.52 %
TAY004,789,614,77.82 %
TAY007,826,659,79.78 %
TAY008,1158,908,78.41 %
TAY010,428,329,76.87 %
TAY011,859,639,74.39 %
TAY012,500,355,71.00 %
TAY013,378,294,77.78 %
TAY014,884,707,79.98 %
TAY015,840,665,79.17 %
TAY016,900,702,78.00 %
TAY017,652,547,83.90 %
TAY020,896,718,80.13 %
TAY021,784,633,80.74 %
TAY022,372,314,84.41 %
TAY023,640,528,82.50 %
TAY024,737,625,84.80 %
TAY025,561,484,86.27 %
TAY026,570,447,78.42 %
TAY027,716,544,75.98 %
TAY028,673,527,78.31 %
TAY029,39,24,61.54 %
TAY030,701,598,85.31 %
TAY031,649,505,77.81 %
TAY032,611,491,80.36 %
TAY033,568,448,78.87 %
TAY034,718,572,79.67 %
TAY035,895,737,82.35 %
TAY036,417,333,79.86 %
TAY037,653,501,76.72 %
TAY038,603,497,82.42 %
TAY039,722,595,82.41 %
TAY040,775,630,81.29 %
TAY041,620,518,83.55 %
TAY042,729,651,89.30 %
TAY043,735,619,84.22 %
TAY044,5,5,100.00 %
TAY045,538,443,82.34 %
WBN001,840,645,76.79 %
WBN002,24,20,83.33 %
WBN003,14,7,50.00 %
WBN004,4,0,0.00 %
WBN005,134,100,74.63 %
WCN001,442,375,84.84 %
WCR002,28,27,96.43 %
WCR003,55,50,90.91 %
WCR005,967,817,84.49 %
WHT001,606,510,84.16 %
WHT002,505,392,77.62 %
WHT003,589,478,81.15 %
WHT004,609,503,82.59 %
WHT005,539,443,82.19 %
WJD001,770,594,77.14 %
WJD002,0,0,0.00 %
WJD003,813,616,75.77 %
WJD004,146,103,70.55 %
WJD005,546,404,73.99 %
WJD006,179,129,72.07 %
WJD007,747,578,77.38 %
WJD008,558,427,76.52 %
WJD009,1003,763,76.07 %
WJD011,583,445,76.33 %
WJD012,963,801,83.18 %
WJD013,984,841,85.47 %
WJD014,0,0,0.00 %
WJD015,855,687,80.35 %
WJD017,1446,1058,73.17 %
WJD018,494,366,74.09 %
WJD019,227,174,76.65 %
WJD020,924,719,77.81 %
WJD021,794,617,77.71 %
WJD022,906,675,74.50 %
WJD023,748,595,79.55 %
WJD024,782,659,84.27 %
WJD025,851,686,80.61 %
WJD027,671,564,84.05 %
WJD028,829,634,76.48 %
WJD030,795,646,81.26 %
WJD031,1085,876,80.74 %
WJD032,954,728,76.31 %
WJD033,896,721,80.47 %
WJD034,940,764,81.28 %
WJD035,1031,765,74.20 %
WJD036,735,560,76.19 %
WJD037,940,706,75.11 %
WJD038,544,431,79.23 %
WJD039,1209,953,78.83 %
WJD040,849,656,77.27 %
WJD042,635,511,80.47 %
WJD043,291,249,85.57 %
WJD044,863,699,81.00 %
WJD045,761,609,80.03 %
WJD046,566,456,80.57 %
WJD047,1003,809,80.66 %
WJD048,620,455,73.39 %
WJD049,1060,857,80.85 %
WJD050,777,628,80.82 %
WJD051,195,164,84.10 %
WJD052,697,560,80.34 %
WJD053,688,503,73.11 %
WJD054,817,623,76.25 %
WJD055,742,600,80.86 %
WJD056,525,432,82.29 %
WJD057,1040,847,81.44 %
WJD059,720,592,82.22 %
WJD060,477,387,81.13 %
WJD061,35,29,82.86 %
WJD063,1037,856,82.55 %
WJD064,859,697,81.14 %
WJD065,676,549,81.21 %
WJD066,758,631,83.25 %
WJD067,10,8,80.00 %
WJD068,697,621,89.10 %
WJD069,1218,948,77.83 %
WJD070,347,294,84.73 %
WJD071,458,358,78.17 %
WJD074,398,324,81.41 %
WJD075,393,304,77.35 %
WJD080,875,718,82.06 %
WVC001,367,246,67.03 %
WVC002,1121,903,80.55 %
WVC003,746,564,75.60 %
WVC004,792,554,69.95 %
WVC005,226,175,77.43 %
WVC006,931,720,77.34 %
WVC007,480,372,77.50 %
WVC008,737,534,72.46 %
WVC009,532,431,81.02 %
WVC010,656,507,77.29 %
WVC011,600,482,80.33 %
WVC012,919,729,79.33 %
WVC013,555,425,76.58 %
WVC014,740,596,80.54 %
WVC015,999,742,74.27 %
WVC016,874,650,74.37 %
WVC017,399,309,77.44 %
WVC018,462,361,78.14 %
WVC019,650,504,77.54 %
WVC020,4,4,100.00 %
WVC021,676,459,67.90 %
